marks,attendance,assignment_completion,participation,coding_score,communication_score,performance_label,behavior_label,dropout_risk,attendance_prediction
85.0,72.0,81.0,53.0,38.0,69.0,high,average,low,moderate
75.0,55.0,73.0,82.0,78.0,88.0,high,average,medium,moderate
35.0,47.0,83.0,75.0,25.0,71.0,medium,average,high,moderate
45.0,77.0,35.0,37.0,45.0,29.0,low,average,medium,moderate
68.0,81.0,34.0,68.0,88.0,65.0,medium,average,low,moderate
67.0,83.0,74.0,97.0,69.0,80.0,high,good,low,high
86.0,96.0,51.0,55.0,68.0,29.0,medium,average,low,high
48.0,47.0,46.0,94.0,69.0,60.0,medium,good,high,moderate
94.0,65.0,59.0,71.0,33.0,72.0,high,average,medium,moderate
61.0,54.0,80.0,93.0,96.0,57.0,medium,good,medium,moderate
87.0,94.0,42.0,92.0,43.0,83.0,high,good,low,high
46.0,72.0,98.0,21.0,82.0,30.0,medium,poor,medium,low
32.0,45.0,59.0,84.0,99.0,47.0,medium,average,high,moderate
33.0,81.0,40.0,35.0,39.0,96.0,medium,average,medium,moderate
56.0,42.0,34.0,85.0,70.0,61.0,medium,average,high,moderate
96.0,56.0,90.0,84.0,23.0,34.0,high,average,medium,high
33.0,83.0,37.0,40.0,70.0,29.0,low,average,medium,moderate
55.0,70.0,59.0,25.0,55.0,67.0,medium,poor,medium,low
37.0,85.0,76.0,53.0,25.0,94.0,medium,average,medium,moderate
95.0,74.0,65.0,44.0,73.0,23.0,high,average,low,moderate
77.0,90.0,48.0,64.0,97.0,28.0,high,average,low,high
83.0,73.0,37.0,26.0,26.0,50.0,medium,poor,low,moderate
79.0,43.0,79.0,23.0,91.0,36.0,medium,poor,medium,low
75.0,44.0,64.0,54.0,87.0,29.0,medium,average,medium,moderate
84.0,86.0,33.0,81.0,63.0,43.0,medium,good,low,high
30.0,42.0,42.0,45.0,92.0,71.0,low,poor,high,low
90.0,62.0,69.0,45.0,44.0,86.0,high,average,medium,moderate
81.0,40.0,41.0,33.0,77.0,44.0,medium,poor,medium,low
81.0,58.0,57.0,42.0,75.0,76.0,medium,poor,medium,moderate
57.0,75.0,38.0,43.0,66.0,85.0,medium,average,medium,moderate
86.0,50.0,85.0,40.0,86.0,20.0,medium,poor,medium,moderate
56.0,67.0,74.0,47.0,90.0,88.0,medium,average,medium,moderate
33.0,99.0,84.0,42.0,82.0,34.0,medium,average,low,moderate
93.0,44.0,33.0,74.0,67.0,74.0,medium,average,medium,moderate
46.0,43.0,56.0,47.0,98.0,80.0,medium,poor,high,low
37.0,56.0,48.0,80.0,64.0,87.0,medium,average,medium,moderate
73.0,89.0,73.0,68.0,70.0,52.0,medium,good,low,high
46.0,64.0,87.0,71.0,35.0,72.0,medium,average,medium,moderate
90.0,78.0,45.0,66.0,45.0,22.0,medium,average,low,high
61.0,42.0,83.0,93.0,92.0,55.0,medium,average,high,moderate
30.0,84.0,70.0,40.0,59.0,97.0,medium,average,medium,moderate
96.0,44.0,87.0,98.0,60.0,32.0,high,good,medium,high
66.0,82.0,35.0,36.0,85.0,32.0,medium,average,low,moderate
48.0,48.0,99.0,31.0,46.0,76.0,medium,poor,high,low
77.0,91.0,60.0,86.0,41.0,60.0,medium,good,low,high
67.0,57.0,49.0,91.0,20.0,56.0,medium,good,medium,moderate
32.0,51.0,42.0,27.0,38.0,39.0,low,poor,high,low
83.0,60.0,98.0,67.0,60.0,33.0,high,average,medium,moderate
58.0,40.0,91.0,61.0,77.0,78.0,medium,average,high,moderate
78.0,49.0,39.0,37.0,46.0,48.0,medium,poor,medium,moderate
92.0,75.0,61.0,61.0,55.0,82.0,high,average,low,moderate
72.0,58.0,81.0,74.0,37.0,55.0,medium,average,medium,moderate
77.0,61.0,71.0,65.0,85.0,51.0,high,average,medium,moderate
47.0,88.0,43.0,61.0,61.0,38.0,medium,average,low,moderate
46.0,47.0,55.0,90.0,31.0,72.0,medium,average,high,moderate
59.0,63.0,55.0,38.0,68.0,42.0,medium,poor,medium,moderate
89.0,51.0,50.0,69.0,46.0,92.0,high,average,medium,moderate
66.0,68.0,97.0,45.0,89.0,52.0,high,average,medium,moderate
54.0,59.0,44.0,97.0,41.0,85.0,medium,good,medium,moderate
84.0,42.0,79.0,40.0,89.0,57.0,medium,poor,medium,low
89.0,44.0,93.0,89.0,75.0,53.0,high,average,medium,moderate
93.0,91.0,85.0,70.0,30.0,56.0,high,good,low,high
50.0,43.0,85.0,37.0,80.0,55.0,medium,poor,high,low
79.0,86.0,41.0,80.0,77.0,58.0,high,good,low,high
71.0,94.0,39.0,39.0,56.0,90.0,medium,average,low,moderate
61.0,67.0,84.0,40.0,32.0,76.0,medium,average,medium,moderate
57.0,58.0,82.0,47.0,58.0,22.0,medium,average,medium,moderate
38.0,86.0,81.0,74.0,68.0,24.0,medium,good,medium,moderate
49.0,98.0,59.0,51.0,30.0,21.0,medium,average,low,moderate
68.0,47.0,66.0,65.0,47.0,75.0,medium,average,medium,moderate
92.0,97.0,31.0,64.0,76.0,36.0,medium,good,low,high
90.0,96.0,50.0,35.0,64.0,50.0,high,average,low,moderate
43.0,48.0,66.0,38.0,99.0,86.0,medium,poor,high,low
77.0,43.0,38.0,44.0,37.0,30.0,low,poor,medium,moderate
35.0,82.0,39.0,37.0,82.0,32.0,low,average,medium,moderate
77.0,44.0,33.0,93.0,54.0,26.0,medium,average,medium,moderate
53.0,76.0,44.0,50.0,37.0,42.0,medium,average,medium,moderate
61.0,43.0,99.0,52.0,96.0,27.0,medium,poor,high,moderate
80.0,81.0,78.0,73.0,69.0,70.0,high,good,low,high
59.0,53.0,96.0,83.0,62.0,78.0,medium,average,medium,moderate
86.0,45.0,47.0,75.0,43.0,34.0,medium,average,medium,moderate
67.0,43.0,71.0,64.0,90.0,61.0,medium,average,medium,moderate
99.0,51.0,92.0,98.0,22.0,44.0,high,good,medium,high
74.0,72.0,54.0,91.0,29.0,26.0,medium,good,medium,high
50.0,44.0,76.0,36.0,34.0,57.0,medium,poor,high,low
84.0,88.0,78.0,32.0,72.0,75.0,high,average,low,moderate
58.0,76.0,88.0,51.0,28.0,38.0,medium,average,medium,moderate
67.0,57.0,97.0,86.0,83.0,83.0,high,average,medium,moderate
39.0,99.0,73.0,97.0,35.0,99.0,medium,good,low,high
38.0,79.0,70.0,76.0,74.0,24.0,medium,good,medium,moderate
70.0,80.0,90.0,75.0,83.0,33.0,high,good,low,high
43.0,50.0,77.0,38.0,90.0,43.0,medium,poor,high,low
99.0,82.0,55.0,67.0,43.0,87.0,high,average,low,high
89.0,73.0,74.0,34.0,25.0,31.0,medium,poor,low,moderate
79.0,99.0,68.0,63.0,80.0,57.0,high,good,low,high
81.0,68.0,46.0,35.0,55.0,62.0,medium,poor,medium,moderate
71.0,80.0,66.0,26.0,95.0,30.0,medium,poor,low,moderate
34.0,60.0,73.0,97.0,35.0,23.0,medium,good,medium,moderate
57.0,42.0,93.0,91.0,65.0,29.0,medium,average,high,moderate
64.0,47.0,70.0,74.0,29.0,24.0,medium,average,medium,moderate
94.0,92.0,41.0,70.0,58.0,60.0,high,good,low,high
45.0,84.0,99.0,39.0,20.0,94.0,high,average,medium,moderate
64.0,61.0,70.0,65.0,80.0,48.0,medium,average,medium,moderate
54.0,81.0,50.0,79.0,68.0,40.0,medium,good,medium,moderate
39.0,40.0,82.0,63.0,27.0,38.0,low,average,high,low
37.0,42.0,56.0,42.0,59.0,98.0,low,poor,high,low
55.0,70.0,55.0,51.0,54.0,96.0,medium,average,medium,moderate
35.0,77.0,88.0,87.0,73.0,71.0,medium,good,medium,moderate
34.0,96.0,90.0,40.0,59.0,57.0,medium,average,low,moderate
54.0,85.0,66.0,96.0,56.0,32.0,medium,good,low,high
44.0,55.0,56.0,80.0,86.0,94.0,medium,average,medium,moderate
68.0,88.0,90.0,91.0,61.0,20.0,high,good,low,high
31.0,69.0,42.0,60.0,85.0,33.0,medium,average,medium,moderate
51.0,89.0,82.0,37.0,90.0,74.0,high,average,low,moderate
61.0,50.0,70.0,22.0,87.0,34.0,medium,poor,medium,low
97.0,41.0,89.0,62.0,96.0,28.0,high,average,medium,moderate
74.0,43.0,59.0,51.0,75.0,67.0,medium,poor,medium,moderate
91.0,99.0,88.0,29.0,64.0,22.0,high,average,low,moderate
54.0,44.0,31.0,94.0,62.0,41.0,low,average,high,moderate
61.0,96.0,83.0,97.0,36.0,71.0,high,good,low,high
59.0,83.0,34.0,49.0,86.0,34.0,medium,average,low,moderate
92.0,48.0,74.0,73.0,75.0,80.0,high,average,medium,moderate
97.0,91.0,43.0,53.0,89.0,27.0,high,average,low,high
97.0,48.0,97.0,59.0,76.0,69.0,high,average,medium,moderate
82.0,48.0,83.0,69.0,58.0,26.0,medium,average,medium,moderate
65.0,74.0,37.0,53.0,43.0,78.0,medium,average,medium,moderate
67.0,57.0,92.0,84.0,98.0,80.0,high,average,medium,moderate
98.0,57.0,47.0,35.0,78.0,83.0,medium,poor,medium,moderate
49.0,51.0,68.0,73.0,89.0,42.0,medium,average,medium,moderate
54.0,76.0,35.0,98.0,66.0,38.0,medium,good,medium,high
92.0,41.0,37.0,88.0,60.0,98.0,medium,average,medium,moderate
57.0,54.0,46.0,23.0,22.0,78.0,medium,poor,medium,low
46.0,73.0,67.0,29.0,25.0,34.0,medium,poor,medium,moderate
69.0,69.0,68.0,70.0,76.0,22.0,medium,average,medium,moderate
52.0,81.0,89.0,93.0,37.0,48.0,medium,good,medium,high
92.0,52.0,41.0,87.0,26.0,73.0,medium,average,medium,moderate
93.0,78.0,82.0,92.0,82.0,49.0,high,good,low,high
51.0,85.0,30.0,31.0,69.0,84.0,medium,average,medium,moderate
67.0,63.0,50.0,61.0,28.0,60.0,medium,average,medium,moderate
98.0,55.0,42.0,78.0,59.0,99.0,high,average,medium,moderate
81.0,73.0,38.0,69.0,57.0,89.0,medium,average,low,moderate
45.0,74.0,70.0,82.0,20.0,57.0,medium,good,medium,moderate
71.0,45.0,93.0,37.0,68.0,86.0,medium,poor,medium,low
73.0,73.0,76.0,56.0,51.0,55.0,medium,average,medium,moderate
75.0,49.0,89.0,55.0,90.0,20.0,medium,average,medium,moderate
31.0,74.0,71.0,95.0,29.0,44.0,medium,good,medium,moderate
50.0,95.0,33.0,36.0,87.0,52.0,medium,average,low,moderate
89.0,72.0,54.0,46.0,20.0,98.0,medium,average,low,moderate
46.0,85.0,87.0,21.0,81.0,86.0,medium,poor,medium,moderate
50.0,58.0,33.0,32.0,82.0,31.0,low,poor,medium,low
52.0,95.0,36.0,98.0,52.0,20.0,medium,good,low,high
42.0,88.0,88.0,87.0,42.0,62.0,medium,good,medium,high
40.0,95.0,34.0,40.0,31.0,62.0,medium,average,low,moderate
54.0,84.0,97.0,76.0,47.0,78.0,high,good,medium,moderate
91.0,78.0,83.0,67.0,73.0,40.0,high,average,low,high
30.0,71.0,76.0,92.0,77.0,84.0,medium,good,medium,moderate
49.0,95.0,67.0,44.0,34.0,53.0,medium,average,low,moderate
34.0,90.0,36.0,99.0,20.0,46.0,medium,good,medium,high
69.0,65.0,59.0,49.0,64.0,53.0,medium,average,medium,moderate
47.0,45.0,86.0,77.0,66.0,95.0,medium,average,high,moderate
85.0,40.0,93.0,51.0,98.0,51.0,medium,poor,medium,moderate
70.0,54.0,61.0,73.0,80.0,64.0,medium,average,medium,moderate
84.0,43.0,88.0,46.0,64.0,91.0,high,poor,medium,moderate
74.0,52.0,84.0,87.0,67.0,21.0,medium,average,medium,moderate
60.0,46.0,34.0,70.0,71.0,62.0,medium,average,medium,moderate
90.0,98.0,73.0,43.0,56.0,76.0,high,average,low,moderate
63.0,45.0,73.0,96.0,74.0,92.0,medium,good,medium,moderate
96.0,77.0,68.0,76.0,35.0,24.0,high,good,low,high
99.0,61.0,84.0,54.0,86.0,78.0,high,average,medium,moderate
71.0,50.0,92.0,30.0,88.0,84.0,high,poor,medium,low
77.0,82.0,68.0,97.0,54.0,48.0,high,good,low,high
47.0,98.0,52.0,80.0,56.0,79.0,medium,good,low,high
87.0,87.0,98.0,73.0,59.0,59.0,high,good,low,high
77.0,98.0,97.0,86.0,85.0,72.0,high,good,low,high
93.0,75.0,78.0,68.0,34.0,51.0,high,average,low,high
48.0,80.0,74.0,38.0,47.0,34.0,medium,average,medium,moderate
85.0,48.0,37.0,38.0,69.0,86.0,medium,poor,medium,moderate
62.0,91.0,58.0,26.0,75.0,37.0,medium,average,low,moderate
42.0,84.0,43.0,25.0,43.0,35.0,medium,poor,medium,moderate
41.0,55.0,66.0,78.0,29.0,90.0,medium,average,medium,moderate
69.0,61.0,87.0,88.0,60.0,94.0,high,good,medium,moderate
52.0,76.0,45.0,33.0,71.0,68.0,medium,average,medium,moderate
37.0,40.0,99.0,65.0,81.0,66.0,medium,average,high,low
59.0,89.0,39.0,29.0,20.0,48.0,medium,average,low,moderate
75.0,56.0,36.0,53.0,21.0,68.0,medium,average,medium,moderate
52.0,44.0,98.0,83.0,50.0,68.0,medium,average,high,moderate
96.0,59.0,37.0,84.0,65.0,61.0,medium,average,medium,high
84.0,90.0,81.0,95.0,20.0,72.0,high,good,low,high
65.0,56.0,83.0,44.0,33.0,64.0,medium,poor,medium,moderate
95.0,72.0,53.0,95.0,53.0,90.0,high,good,low,high
60.0,88.0,34.0,82.0,42.0,73.0,medium,good,low,high
39.0,42.0,51.0,47.0,76.0,50.0,low,poor,high,low
32.0,85.0,34.0,46.0,22.0,72.0,low,average,medium,moderate
95.0,57.0,77.0,28.0,91.0,38.0,high,poor,medium,moderate
97.0,81.0,92.0,93.0,33.0,37.0,high,good,low,high
81.0,51.0,99.0,36.0,55.0,86.0,high,poor,medium,moderate
37.0,48.0,86.0,41.0,98.0,66.0,medium,poor,high,low
50.0,87.0,84.0,53.0,73.0,24.0,medium,average,low,moderate
32.0,88.0,91.0,31.0,99.0,48.0,medium,average,medium,moderate
33.0,98.0,83.0,84.0,21.0,98.0,medium,good,low,high
47.0,80.0,75.0,75.0,77.0,70.0,medium,good,medium,moderate
70.0,67.0,99.0,32.0,26.0,89.0,high,poor,medium,moderate
34.0,51.0,52.0,33.0,68.0,63.0,low,poor,high,low
98.0,57.0,58.0,21.0,46.0,23.0,medium,poor,medium,moderate
61.0,78.0,93.0,95.0,82.0,34.0,high,good,medium,high
48.0,60.0,51.0,54.0,29.0,27.0,low,average,medium,moderate
66.0,69.0,50.0,72.0,91.0,78.0,medium,average,medium,moderate
85.0,50.0,40.0,31.0,58.0,80.0,medium,poor,medium,low
51.0,66.0,49.0,38.0,61.0,56.0,medium,poor,medium,moderate
33.0,54.0,71.0,63.0,65.0,77.0,medium,average,high,moderate
33.0,46.0,92.0,36.0,22.0,64.0,medium,poor,high,low
89.0,47.0,39.0,69.0,44.0,79.0,medium,average,medium,moderate
37.0,71.0,77.0,93.0,76.0,73.0,medium,good,medium,moderate
74.0,61.0,83.0,44.0,96.0,56.0,high,average,medium,moderate
56.0,45.0,92.0,68.0,98.0,72.0,medium,average,high,moderate
84.0,70.0,82.0,93.0,62.0,45.0,high,good,medium,high
34.0,49.0,40.0,91.0,40.0,79.0,low,average,high,moderate
92.0,40.0,64.0,20.0,58.0,93.0,medium,poor,medium,low
78.0,47.0,96.0,28.0,57.0,36.0,medium,poor,medium,low
61.0,66.0,93.0,98.0,51.0,73.0,high,good,medium,high
44.0,97.0,72.0,94.0,48.0,28.0,medium,good,low,high
98.0,54.0,97.0,45.0,89.0,50.0,high,poor,medium,moderate
51.0,57.0,76.0,61.0,51.0,73.0,medium,average,medium,moderate
64.0,54.0,34.0,65.0,22.0,42.0,low,average,medium,moderate
57.0,61.0,93.0,73.0,77.0,38.0,medium,average,medium,moderate
46.0,83.0,41.0,80.0,73.0,50.0,medium,good,medium,moderate
59.0,59.0,56.0,49.0,50.0,29.0,medium,average,medium,moderate
40.0,79.0,46.0,91.0,70.0,70.0,medium,good,medium,high
30.0,93.0,80.0,24.0,95.0,30.0,medium,average,medium,moderate
50.0,96.0,32.0,22.0,93.0,46.0,medium,average,low,moderate
37.0,73.0,74.0,96.0,83.0,45.0,medium,good,medium,high
59.0,82.0,90.0,34.0,66.0,97.0,high,average,low,moderate
90.0,95.0,85.0,99.0,22.0,99.0,high,good,low,high
41.0,87.0,51.0,42.0,60.0,26.0,medium,average,medium,moderate
30.0,57.0,92.0,49.0,85.0,32.0,medium,average,high,low
37.0,47.0,55.0,22.0,87.0,78.0,low,poor,high,low
65.0,46.0,77.0,95.0,81.0,43.0,medium,good,medium,moderate
49.0,92.0,65.0,48.0,98.0,71.0,high,average,low,moderate
64.0,73.0,34.0,33.0,61.0,93.0,medium,poor,medium,moderate
32.0,57.0,30.0,58.0,28.0,33.0,low,average,high,moderate
53.0,60.0,42.0,32.0,59.0,97.0,medium,poor,medium,low
58.0,56.0,95.0,83.0,45.0,24.0,medium,average,medium,moderate
60.0,88.0,96.0,25.0,86.0,38.0,medium,average,low,moderate
68.0,76.0,58.0,59.0,82.0,60.0,medium,average,medium,moderate
84.0,92.0,97.0,51.0,53.0,90.0,high,average,low,moderate
62.0,58.0,33.0,22.0,51.0,64.0,low,poor,medium,low
88.0,68.0,97.0,24.0,32.0,31.0,medium,poor,medium,moderate
67.0,47.0,46.0,61.0,23.0,39.0,medium,average,medium,moderate
48.0,98.0,32.0,51.0,45.0,80.0,medium,average,low,moderate
46.0,70.0,83.0,30.0,39.0,64.0,medium,poor,medium,low
52.0,73.0,56.0,31.0,41.0,21.0,low,poor,medium,moderate
71.0,64.0,50.0,84.0,99.0,60.0,medium,good,medium,moderate
46.0,56.0,83.0,78.0,74.0,52.0,medium,average,medium,moderate
93.0,96.0,53.0,68.0,64.0,20.0,high,good,low,high
63.0,69.0,82.0,86.0,34.0,39.0,medium,good,medium,moderate
90.0,80.0,43.0,25.0,87.0,94.0,high,poor,low,moderate
77.0,42.0,36.0,75.0,71.0,76.0,medium,average,medium,moderate
53.0,56.0,52.0,80.0,61.0,25.0,medium,average,medium,moderate
45.0,88.0,72.0,36.0,57.0,21.0,medium,average,low,moderate
82.0,45.0,45.0,62.0,64.0,47.0,medium,average,medium,moderate
53.0,46.0,40.0,81.0,87.0,57.0,medium,average,high,moderate
47.0,88.0,82.0,68.0,77.0,56.0,medium,good,low,moderate
95.0,58.0,64.0,39.0,58.0,75.0,high,poor,medium,moderate
63.0,56.0,60.0,73.0,73.0,33.0,medium,average,medium,moderate
33.0,73.0,46.0,80.0,94.0,23.0,medium,good,medium,moderate
64.0,51.0,31.0,20.0,46.0,73.0,medium,poor,medium,low
62.0,42.0,33.0,65.0,92.0,91.0,medium,average,high,moderate
90.0,40.0,77.0,60.0,68.0,33.0,medium,average,medium,moderate
79.0,44.0,35.0,49.0,34.0,48.0,medium,poor,medium,moderate
43.0,49.0,47.0,23.0,97.0,70.0,low,poor,high,low
40.0,81.0,93.0,26.0,74.0,33.0,medium,poor,medium,moderate
72.0,57.0,54.0,80.0,50.0,88.0,medium,average,medium,moderate
33.0,44.0,82.0,86.0,37.0,38.0,medium,average,high,moderate
52.0,40.0,54.0,53.0,93.0,62.0,medium,poor,high,low
39.0,68.0,95.0,95.0,85.0,47.0,medium,good,medium,moderate
31.0,90.0,87.0,94.0,23.0,73.0,medium,good,medium,high
94.0,60.0,62.0,73.0,70.0,35.0,medium,average,medium,moderate
36.0,43.0,77.0,66.0,29.0,27.0,low,average,high,moderate
30.0,53.0,58.0,97.0,43.0,60.0,medium,good,high,moderate
95.0,69.0,96.0,68.0,65.0,89.0,high,average,low,moderate
43.0,51.0,55.0,94.0,39.0,70.0,medium,good,high,moderate
87.0,98.0,88.0,98.0,60.0,80.0,high,good,low,high
32.0,85.0,73.0,35.0,54.0,54.0,medium,average,medium,moderate
40.0,60.0,75.0,72.0,66.0,31.0,medium,average,medium,moderate
37.0,97.0,54.0,78.0,84.0,54.0,medium,good,low,high
79.0,59.0,88.0,85.0,32.0,98.0,high,average,medium,moderate
73.0,48.0,82.0,47.0,83.0,82.0,high,poor,medium,moderate
63.0,96.0,87.0,88.0,37.0,76.0,high,good,low,high
46.0,97.0,86.0,59.0,22.0,44.0,medium,average,low,moderate
36.0,58.0,41.0,50.0,55.0,67.0,low,average,medium,moderate
69.0,75.0,91.0,32.0,44.0,69.0,medium,poor,medium,moderate
46.0,50.0,88.0,45.0,34.0,72.0,medium,poor,high,low
71.0,78.0,46.0,97.0,53.0,91.0,high,good,low,high
78.0,81.0,98.0,77.0,89.0,74.0,high,good,low,high
89.0,82.0,66.0,78.0,66.0,37.0,high,good,low,high
64.0,74.0,52.0,91.0,78.0,37.0,medium,good,medium,high
30.0,82.0,45.0,41.0,31.0,69.0,medium,average,medium,moderate
49.0,73.0,55.0,72.0,26.0,89.0,medium,average,medium,moderate
89.0,89.0,32.0,49.0,46.0,95.0,medium,average,low,moderate
67.0,50.0,78.0,87.0,81.0,68.0,medium,average,medium,moderate
73.0,69.0,79.0,53.0,90.0,62.0,high,average,medium,moderate
62.0,64.0,76.0,88.0,28.0,85.0,medium,good,medium,moderate
41.0,72.0,68.0,79.0,58.0,98.0,medium,good,medium,moderate
92.0,48.0,55.0,81.0,51.0,22.0,medium,average,medium,moderate
84.0,59.0,80.0,94.0,79.0,44.0,high,good,medium,high
99.0,97.0,90.0,83.0,36.0,46.0,high,good,low,high
89.0,46.0,36.0,45.0,58.0,65.0,medium,poor,medium,moderate
50.0,78.0,56.0,61.0,87.0,43.0,medium,average,medium,moderate
47.0,79.0,99.0,57.0,57.0,44.0,medium,average,medium,moderate
47.0,68.0,90.0,25.0,82.0,21.0,medium,poor,medium,low
94.0,42.0,99.0,67.0,69.0,20.0,high,average,medium,moderate
68.0,42.0,42.0,54.0,67.0,55.0,medium,poor,high,moderate
61.0,56.0,62.0,51.0,40.0,99.0,medium,average,medium,moderate
97.0,46.0,39.0,28.0,99.0,43.0,medium,poor,medium,low
72.0,45.0,90.0,60.0,39.0,39.0,medium,average,medium,moderate
93.0,49.0,66.0,66.0,94.0,41.0,medium,average,medium,moderate
98.0,51.0,47.0,28.0,99.0,97.0,high,poor,medium,moderate
35.0,90.0,36.0,70.0,60.0,73.0,medium,good,medium,moderate
55.0,78.0,81.0,33.0,89.0,72.0,medium,average,medium,moderate
81.0,41.0,86.0,31.0,77.0,35.0,medium,poor,medium,low
86.0,77.0,91.0,52.0,79.0,92.0,high,average,low,moderate
40.0,48.0,97.0,51.0,25.0,35.0,medium,poor,high,low
52.0,65.0,87.0,93.0,30.0,97.0,medium,good,medium,moderate
68.0,42.0,85.0,25.0,25.0,96.0,medium,poor,high,low
85.0,45.0,86.0,47.0,22.0,65.0,medium,poor,medium,moderate
37.0,47.0,99.0,78.0,86.0,89.0,medium,average,high,moderate
72.0,66.0,62.0,39.0,34.0,99.0,medium,poor,medium,moderate
50.0,67.0,83.0,98.0,20.0,66.0,medium,good,medium,high
45.0,61.0,87.0,79.0,95.0,81.0,high,average,medium,moderate
66.0,77.0,38.0,95.0,42.0,67.0,medium,good,medium,high
58.0,83.0,78.0,95.0,85.0,61.0,high,good,low,high
74.0,83.0,53.0,28.0,96.0,46.0,medium,average,low,moderate
52.0,74.0,39.0,56.0,61.0,72.0,medium,average,medium,moderate
87.0,72.0,41.0,79.0,94.0,41.0,high,good,low,high
35.0,69.0,37.0,20.0,97.0,35.0,low,poor,medium,low
90.0,54.0,92.0,56.0,31.0,42.0,medium,average,medium,moderate
32.0,69.0,84.0,75.0,31.0,20.0,medium,average,medium,moderate
81.0,40.0,37.0,83.0,49.0,94.0,medium,average,medium,moderate
54.0,97.0,73.0,53.0,64.0,40.0,medium,average,low,moderate
56.0,62.0,76.0,89.0,82.0,83.0,medium,good,medium,moderate
31.0,85.0,66.0,73.0,34.0,54.0,medium,good,medium,moderate
79.0,97.0,72.0,23.0,35.0,47.0,medium,average,low,moderate
41.0,69.0,93.0,42.0,44.0,38.0,medium,average,medium,moderate
76.0,91.0,66.0,95.0,41.0,85.0,high,good,low,high
80.0,68.0,76.0,20.0,95.0,61.0,high,poor,medium,moderate
89.0,47.0,69.0,28.0,51.0,55.0,medium,poor,medium,low
79.0,41.0,57.0,47.0,89.0,72.0,medium,poor,medium,moderate
51.0,48.0,92.0,99.0,24.0,84.0,medium,good,high,moderate
81.0,96.0,58.0,76.0,28.0,72.0,high,good,low,high
87.0,68.0,85.0,31.0,84.0,57.0,high,poor,medium,moderate
52.0,59.0,72.0,51.0,39.0,91.0,medium,average,medium,moderate
38.0,66.0,77.0,95.0,26.0,91.0,medium,good,medium,moderate
92.0,55.0,83.0,37.0,67.0,97.0,high,poor,medium,moderate
40.0,92.0,81.0,66.0,31.0,27.0,medium,good,low,moderate
71.0,99.0,69.0,57.0,24.0,91.0,high,average,low,high
46.0,45.0,73.0,80.0,52.0,35.0,medium,average,high,moderate
38.0,83.0,65.0,80.0,64.0,69.0,medium,good,medium,moderate
84.0,60.0,53.0,86.0,62.0,72.0,medium,good,medium,high
40.0,42.0,80.0,29.0,66.0,36.0,low,poor,high,low
76.0,95.0,91.0,56.0,21.0,20.0,high,average,low,high
78.0,43.0,79.0,75.0,43.0,95.0,medium,average,medium,moderate
34.0,52.0,84.0,53.0,47.0,91.0,medium,average,high,low
42.0,41.0,88.0,73.0,43.0,33.0,medium,average,high,moderate
85.0,68.0,55.0,70.0,64.0,68.0,medium,average,medium,moderate
65.0,75.0,34.0,49.0,38.0,32.0,medium,average,medium,moderate
38.0,59.0,53.0,28.0,70.0,65.0,low,poor,medium,low
99.0,44.0,82.0,97.0,94.0,45.0,high,good,medium,high
48.0,46.0,87.0,86.0,72.0,80.0,medium,average,high,moderate
30.0,96.0,65.0,91.0,51.0,65.0,medium,good,low,high
94.0,88.0,84.0,43.0,54.0,59.0,high,average,low,moderate
31.0,96.0,35.0,45.0,66.0,74.0,medium,average,low,moderate
68.0,71.0,75.0,45.0,77.0,58.0,medium,average,medium,moderate
99.0,72.0,77.0,22.0,44.0,21.0,medium,poor,low,moderate
70.0,87.0,65.0,33.0,23.0,67.0,medium,average,low,moderate
70.0,76.0,80.0,44.0,76.0,82.0,high,average,medium,moderate
57.0,66.0,64.0,98.0,72.0,59.0,medium,good,medium,high
38.0,57.0,66.0,36.0,28.0,34.0,low,poor,medium,low
70.0,69.0,72.0,60.0,70.0,20.0,medium,average,medium,moderate
92.0,43.0,85.0,63.0,25.0,43.0,medium,average,medium,moderate
36.0,51.0,47.0,48.0,71.0,81.0,low,poor,high,low
91.0,84.0,51.0,93.0,79.0,45.0,high,good,low,high
59.0,92.0,59.0,27.0,21.0,96.0,medium,average,low,moderate
67.0,46.0,44.0,89.0,78.0,46.0,medium,average,medium,moderate
41.0,45.0,53.0,79.0,29.0,54.0,low,average,high,moderate
73.0,45.0,54.0,44.0,41.0,80.0,medium,poor,medium,moderate
42.0,87.0,51.0,81.0,76.0,69.0,medium,good,medium,high
49.0,58.0,58.0,54.0,48.0,23.0,medium,average,medium,moderate
80.0,59.0,65.0,97.0,98.0,26.0,medium,good,medium,high
33.0,40.0,78.0,22.0,96.0,35.0,low,poor,high,low
61.0,98.0,51.0,22.0,98.0,89.0,medium,average,low,moderate
71.0,66.0,89.0,63.0,28.0,21.0,medium,average,medium,moderate
39.0,87.0,63.0,94.0,34.0,25.0,medium,good,medium,high
50.0,82.0,80.0,25.0,34.0,82.0,medium,poor,medium,moderate
54.0,48.0,38.0,82.0,66.0,69.0,medium,average,high,moderate
76.0,88.0,42.0,95.0,54.0,98.0,high,good,low,high
98.0,73.0,61.0,58.0,79.0,37.0,medium,average,low,moderate
88.0,76.0,55.0,89.0,42.0,72.0,high,good,low,high
43.0,52.0,64.0,80.0,35.0,30.0,medium,average,high,moderate
31.0,90.0,41.0,37.0,71.0,67.0,medium,average,medium,moderate
33.0,95.0,63.0,88.0,69.0,28.0,medium,good,low,high
